Global Volcanism Program - Volcanoes of the World 4.6.7,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,VEI,Start Year,Start Month,Evidence Method (dating),End Year,Latitude,Longitude
351020,"Ruiz, Nevado del",20995,Confirmed Eruption,2,2014,11,Historical Observations,2017,4.892,-75.324
312030,Pavlof,20975,Confirmed Eruption,1,2014,11,Historical Observations,2014,55.417,-161.894
345070,Turrialba,20974,Confirmed Eruption,2,2014,10,Historical Observations,2014,10.025,-83.767
264180,Lewotobi,20973,Uncertain Eruption,2,2014,10,Historical Observations,2014,-8.542,122.775
283040,Ontakesan,20964,Confirmed Eruption,3,2014,9,Historical Observations,2014,35.893,137.48
345020,Rincon de la Vieja,20961,Confirmed Eruption,1,2014,9,Historical Observations,2014,10.83,-85.324
282110,Asosan,20960,Confirmed Eruption,2,2014,8,Historical Observations,2016,32.884,131.104
373030,Bardarbunga,20955,Confirmed Eruption,0,2014,8,Historical Observations,2015,64.633,-17.516
342110,Pacaya,22222,Confirmed Eruption,unknown,2014,8,Historical Observations,2015,14.382,-90.601
273030,Mayon,20959,Confirmed Eruption,0,2014,8,Historical Observations,2014,13.257,123.685
354006,Sabancaya,20953,Uncertain Eruption,1,2014,8,Historical Observations,2014,-15.787,-71.857
282050,Kuchinoerabujima,20952,Confirmed Eruption,1,2014,8,Historical Observations,2014,30.443,130.217
252140,Rabaul,20957,Confirmed Eruption,3,2014,7,Historical Observations,2014,-4.271,152.203
357090,Copahue,20954,Confirmed Eruption,1,2014,7,Historical Observations,2014,-37.856,-71.183
251020,Manam,20956,Confirmed Eruption,2,2014,6,Historical Observations,2018,-4.08,145.037
233020,"Fournaise, Piton de la",20919,Confirmed Eruption,0,2014,6,Historical Observations,2014,-21.244,55.708
267020,Karangetang,20914,Confirmed Eruption,2,2014,6,Historical Observations,2016,2.781,125.407
300120,Zhupanovsky,20908,Confirmed Eruption,3,2014,6,Historical Observations,2016,53.589,159.15
312030,Pavlof,20909,Confirmed Eruption,3,2014,5,Historical Observations,2014,55.417,-161.894
264050,Sangeang Api,20911,Confirmed Eruption,3,2014,5,Historical Observations,2015,-8.2,119.07
223020,Nyamuragira,20942,Confirmed Eruption,0,2014,5,Historical Observations,2016,-1.408,29.2
284141,Ahyi,20936,Confirmed Eruption,0,2014,4,Hydrophonic,2014,20.42,145.03
263300,Semeru,22221,Confirmed Eruption,unknown,2014,4,Historical Observations,2018,-8.108,112.922
262000,Krakatau,20932,Confirmed Eruption,1,2014,3,Historical Observations,2014,-6.102,105.423
251030,Karkar,20910,Confirmed Eruption,1,2014,3,Historical Observations,2014,-4.649,145.964
263250,Merapi,20892,Confirmed Eruption,3,2014,3,Historical Observations,2014,-7.54,110.446
263180,Slamet,20933,Confirmed Eruption,2,2014,3,Historical Observations,2014,-7.242,109.208
263280,Kelut,20934,Confirmed Eruption,4,2014,2,Historical Observations,2014,-7.93,112.308
267020,Karangetang,20913,Confirmed Eruption,1,2014,2,Historical Observations,2014,2.781,125.407
344020,San Cristobal,20941,Confirmed Eruption,1,2014,2,Historical Observations,2014,12.702,-87.004
261140,Marapi,20931,Confirmed Eruption,1,2014,2,Historical Observations,2014,-0.38,100.474
255060,Kavachi,20920,Confirmed Eruption,1,2014,1,Historical Observations,2014,-8.991,157.979
311360,Shishaldin,20937,Confirmed Eruption,1,2014,1,Historical Observations,2015,54.756,-163.97
282110,Asosan,20935,Confirmed Eruption,1,2014,1,Historical Observations,2014,32.884,131.104
263340,Raung,21069,Uncertain Eruption,1,2014,1,Historical Observations,2014,-8.119,114.056
343100,San Miguel,20906,Confirmed Eruption,2,2013,12,Historical Observations,2014,13.434,-88.269
284096,Nishinoshima,20916,Confirmed Eruption,2,2013,11,Historical Observations,2015,27.247,140.874
263250,Merapi,20842,Confirmed Eruption,2,2013,11,Historical Observations,2013,-7.54,110.446
300120,Zhupanovsky,20907,Confirmed Eruption,3,2013,10,Historical Observations,2013,53.589,159.15
260010,Barren Island,20918,Confirmed Eruption,2,2013,10,Historical Observations,2016,12.278,93.858
263090,Tangkubanparahu,20987,Confirmed Eruption,1,2013,10,Historical Observations,2013,-6.77,107.6
221020,Zubair Group,21068,Confirmed Eruption,2,2013,9,Historical Observations,2013,15.05,42.18
344040,Telica,22195,Confirmed Eruption,1,2013,9,Historical Observations,2013,12.606,-86.84
261080,Sinabung,20818,Confirmed Eruption,2,2013,9,Historical Observations,2018,3.17,98.392
211060,Etna,20841,Confirmed Eruption,2,2013,9,Historical Observations,2018,37.748,14.999
354020,Ubinas,20832,Confirmed Eruption,2,2013,9,Historical Observations,2016,-16.355,-70.903
264250,Iliwerung,20912,Confirmed Eruption,0,2013,8,Historical Observations,2013,-8.53,123.57
300260,Klyuchevskoy,20786,Confirmed Eruption,1,2013,8,Historical Observations,2013,56.056,160.642
290200,Ketoi,20780,Uncertain Eruption,unknown,2013,7,Historical Observations,2013,47.35,152.475
357120,Villarrica,20838,Confirmed Eruption,1,2013,7,Historical Observations,2013,-39.42,-71.93
252120,Ulawun,20835,Confirmed Eruption,1,2013,7,Historical Observations,2013,-5.05,151.33
284090,Izu-Torishima,20828,Uncertain Eruption,2,2013,7,Historical Observations,2013,30.484,140.303
312070,Veniaminof,20836,Confirmed Eruption,3,2013,6,Historical Observations,2013,56.17,-159.38
290260,Chirinkotan,20757,Confirmed Eruption,1,2013,6,Historical Observations,2014,48.98,153.48
344020,San Cristobal,20817,Confirmed Eruption,1,2013,6,Historical Observations,2013,12.702,-87.004
263300,Semeru,22220,Confirmed Eruption,unknown,2013,6,Historical Observations,2013,-8.108,112.922
282060,Kikai,20781,Confirmed Eruption,1,2013,6,Historical Observations,2013,30.793,130.305
261170,Kerinci,22216,Confirmed Eruption,2,2013,6,Historical Observations,2013,-1.697,101.264
345070,Turrialba,20831,Confirmed Eruption,2,2013,5,Historical Observations,2013,10.025,-83.767
312030,Pavlof,20807,Confirmed Eruption,3,2013,5,Historical Observations,2013,55.417,-161.894
273030,Mayon,20798,Confirmed Eruption,2,2013,5,Historical Observations,2013,13.257,123.685
355100,Lascar,20789,Confirmed Eruption,1,2013,4,Historical Observations,2013,-23.37,-67.73
342110,Pacaya,20802,Confirmed Eruption,2,2013,3,Historical Observations,2014,14.382,-90.601
263090,Tangkubanparahu,20822,Confirmed Eruption,2,2013,2,Historical Observations,2013,-6.77,107.6
260010,Barren Island,20754,Confirmed Eruption,1,2013,2,Historical Observations,2013,12.278,93.858
290070,Etorofu-Yakeyama [Grozny Group],20762,Confirmed Eruption,2,2013,2,Historical Observations,2013,45.012,147.871
284305,Mariana Back-Arc Segment at 15.5ˇN,21102,Confirmed Eruption,0,2013,2,Historical Observations,2015,15.406,144.506
251030,Karkar,20779,Confirmed Eruption,3,2013,1,Historical Observations,2013,-4.649,145.964
352090,Sangay,22235,Confirmed Eruption,unknown,2013,1,Historical Observations,2013,-2.005,-78.341
268040,Gamkonora,20915,Uncertain Eruption,1,2013,1,Historical Observations,2013,1.38,127.53
252140,Rabaul,20811,Confirmed Eruption,2,2013,1,Historical Observations,2014,-4.271,152.203
341040,Colima,20759,Confirmed Eruption,2,2013,1,Historical Observations,2017,19.514,-103.62
344020,San Cristobal,20816,Confirmed Eruption,2,2012,12,Historical Observations,2012,12.702,-87.004
357090,Copahue,20760,Confirmed Eruption,2,2012,12,Historical Observations,2013,-37.856,-71.183
252010,Langila,20788,Confirmed Eruption,1,2012,12,Historical Observations,2012,-5.525,148.42
300240,Tolbachik,20825,Confirmed Eruption,4,2012,11,Historical Observations,2013,55.832,160.326
241080,Tongariro,20827,Confirmed Eruption,2,2012,11,Historical Observations,2012,-39.157,175.632
357120,Villarrica,20837,Uncertain Eruption,1,2012,11,Historical Observations,2012,-39.42,-71.93
290150,Chirpoi,20756,Confirmed Eruption,0,2012,11,Historical Observations,2016,46.532,150.871
252120,Ulawun,20834,Confirmed Eruption,1,2012,11,Historical Observations,2012,-5.05,151.33
284170,Pagan,20804,Confirmed Eruption,2,2012,10,Historical Observations,2012,18.13,145.8
345020,Rincon de la Vieja,22161,Confirmed Eruption,1,2012,10,Historical Observations,2012,10.83,-85.324
264150,Paluweh,20806,Confirmed Eruption,2,2012,10,Historical Observations,2013,-8.32,121.708
290390,Alaid,20750,Confirmed Eruption,2,2012,10,Historical Observations,2012,50.861,155.565
261140,Marapi,20797,Confirmed Eruption,1,2012,9,Historical Observations,2012,-0.38,100.474
268060,Gamalama,20766,Confirmed Eruption,1,2012,9,Historical Observations,2012,0.8,127.33
266100,Lokon-Empung,20794,Confirmed Eruption,2,2012,9,Historical Observations,2013,1.358,124.792
344020,San Cristobal,20815,Confirmed Eruption,2,2012,9,Historical Observations,2012,12.702,-87.004
234010,Heard,20768,Confirmed Eruption,0,2012,9,Historical Observations,2017,-53.106,73.513
300260,Klyuchevskoy,20785,Confirmed Eruption,1,2012,9,Historical Observations,2013,56.056,160.642
266030,Soputan,20821,Confirmed Eruption,3,2012,8,Historical Observations,2012,1.112,124.737
290070,Etorofu-Yakeyama [Grozny Group],20761,Confirmed Eruption,2,2012,8,Historical Observations,2012,45.012,147.871
241040,White Island,20839,Confirmed Eruption,2,2012,8,Historical Observations,2013,-37.52,177.18
241080,Tongariro,20826,Confirmed Eruption,2,2012,8,Historical Observations,2012,-39.157,175.632
242050,Monowai,20799,Confirmed Eruption,0,2012,8,Hydrophonic,2012,-25.887,-177.188
242005,Havre Seamount,20748,Confirmed Eruption,1,2012,7,Historical Observations,2012,-31.08,-179.033
390090,Saunders,20903,Confirmed Eruption,0,2012,6,Historical Observations,2012,-57.8,-26.483
267020,Karangetang,20776,Confirmed Eruption,2,2012,5,Historical Observations,2013,2.781,125.407
351080,Galeras,20764,Confirmed Eruption,2,2012,5,Historical Observations,2014,1.22,-77.37
264270,Sirung,20819,Confirmed Eruption,2,2012,5,Historical Observations,2012,-8.508,124.13
252120,Ulawun,20833,Confirmed Eruption,1,2012,5,Historical Observations,2012,-5.05,151.33
252080,Witori,20805,Confirmed Eruption,2,2012,5,Historical Observations,2012,-5.576,150.516
344100,Masaya,22143,Confirmed Eruption,1,2012,4,Historical Observations,2012,11.984,-86.161
261140,Marapi,20796,Confirmed Eruption,1,2012,3,Historical Observations,2012,-0.38,100.474
351020,"Ruiz, Nevado del",20814,Confirmed Eruption,3,2012,2,Historical Observations,2013,4.892,-75.324
345020,Rincon de la Vieja,20813,Confirmed Eruption,1,2012,2,Historical Observations,2012,10.83,-85.324
311110,Kanaga,20774,Confirmed Eruption,2,2012,2,Historical Observations,2012,51.923,-177.168
284120,Ioto,20772,Confirmed Eruption,1,2012,2,Historical Observations,2012,24.751,141.289
251030,Karkar,20778,Confirmed Eruption,3,2012,2,Historical Observations,2012,-4.649,145.964
345070,Turrialba,20830,Confirmed Eruption,2,2012,1,Historical Observations,2012,10.025,-83.767
357091,Callaqui,20755,Uncertain Eruption,unknown,2012,1,Historical Observations,2012,-37.92,-71.45
264230,Lewotolo,20791,Confirmed Eruption,1,2012,1,Historical Observations,2012,-8.272,123.505
221020,Zubair Group,20840,Confirmed Eruption,2,2011,12,Historical Observations,2012,15.05,42.18
261170,Kerinci,22217,Confirmed Eruption,1,2011,12,Historical Observations,2011,-1.697,101.264
268060,Gamalama,20765,Confirmed Eruption,2,2011,12,Historical Observations,2011,0.8,127.33
352080,Tungurahua,22215,Confirmed Eruption,unknown,2011,11,Historical Observations,2016,-1.467,-78.442
223020,Nyamuragira,20801,Confirmed Eruption,2,2011,11,Historical Observations,2012,-1.408,29.2
300260,Klyuchevskoy,20784,Uncertain Eruption,unknown,2011,11,Historical Observations,2011,56.056,160.642
358057,"Hudson, Cerro",20770,Confirmed Eruption,2,2011,10,Historical Observations,2011,-45.9,-72.97
383020,Hierro,20769,Confirmed Eruption,2,2011,10,Historical Observations,2012,27.73,-18.03
257020,Gaua,20938,Confirmed Eruption,1,2011,9,Historical Observations,2011,-14.27,167.5
345020,Rincon de la Vieja,20812,Confirmed Eruption,1,2011,8,Historical Observations,2011,10.83,-85.324
344020,San Cristobal,10898,Confirmed Eruption,1,2011,8,Historical Observations,2011,12.702,-87.004
261140,Marapi,20795,Confirmed Eruption,2,2011,8,Historical Observations,2011,-0.38,100.474
262000,Krakatau,20787,Confirmed Eruption,2,2011,7,Historical Observations,2012,-6.102,105.423
311240,Cleveland,20758,Confirmed Eruption,2,2011,7,Historical Observations,2015,52.825,-169.944
266030,Soputan,20820,Confirmed Eruption,3,2011,7,Historical Observations,2011,1.112,124.737
266100,Lokon-Empung,20793,Confirmed Eruption,2,2011,6,Historical Observations,2012,1.358,124.792
222120,"Lengai, Ol Doinyo",20790,Confirmed Eruption,0,2011,6,Historical Observations,2014,-2.764,35.914
221101,Nabro,20800,Confirmed Eruption,4,2011,6,Historical Observations,2012,13.37,41.7
352090,Sangay,22234,Confirmed Eruption,unknown,2011,6,Historical Observations,2012,-2.005,-78.341
357150,Puyehue-Cordon Caulle,20809,Confirmed Eruption,5,2011,6,Historical Observations,2012,-40.59,-72.117
257030,Ambae,20752,Confirmed Eruption,1,2011,6,Historical Observations,2011,-15.4,167.83
373010,Grimsvotn,20767,Confirmed Eruption,4,2011,5,Historical Observations,2011,64.416,-17.316
282110,Asosan,20753,Confirmed Eruption,1,2011,5,Historical Observations,2011,32.884,131.104
263300,Semeru,22219,Confirmed Eruption,unknown,2011,5,Historical Observations,2012,-8.108,112.922
284170,Pagan,20803,Confirmed Eruption,2,2011,4,Historical Observations,2011,18.13,145.8
352080,Tungurahua,22214,Confirmed Eruption,2,2011,4,Historical Observations,2011,-1.467,-78.442
331021,Axial Seamount,20921,Confirmed Eruption,0,2011,4,Historical Observations,2011,45.95,-130
351080,Galeras,20763,Uncertain Eruption,unknown,2011,3,Historical Observations,2011,1.22,-77.37
300260,Klyuchevskoy,20783,Confirmed Eruption,1,2011,3,Historical Observations,2011,56.056,160.642
252140,Rabaul,20810,Confirmed Eruption,2,2011,3,Historical Observations,2011,-4.271,152.203
267020,Karangetang,20775,Confirmed Eruption,2,2011,3,Historical Observations,2011,2.781,125.407
344040,Telica,20823,Confirmed Eruption,2,2011,3,Historical Observations,2011,12.606,-86.84
266100,Lokon-Empung,20792,Confirmed Eruption,1,2011,2,Historical Observations,2011,1.358,124.792
357040,Planchon-Peteroa,20808,Confirmed Eruption,3,2011,2,Historical Observations,2011,-35.223,-70.568
282090,Kirishimayama,20782,Confirmed Eruption,2,2011,1,Historical Observations,2011,31.934,130.862
345070,Turrialba,20829,Confirmed Eruption,1,2011,1,Historical Observations,2011,10.025,-83.767
221041,Dallol,20939,Confirmed Eruption,0,2011,1,Historical Observations,2011,14.242,40.3
263310,Tengger Caldera,16064,Confirmed Eruption,3,2010,11,Historical Observations,2012,-7.942,112.95
352080,Tungurahua,11645,Confirmed Eruption,3,2010,11,Historical Observations,2011,-1.467,-78.442
390090,Saunders,20901,Confirmed Eruption,1,2010,11,Historical Observations,2010,-57.8,-26.483
300230,Kizimen,19264,Confirmed Eruption,3,2010,11,Historical Observations,2013,55.131,160.32
273010,Bulusan,16772,Confirmed Eruption,2,2010,11,Historical Observations,2011,12.769,124.056
263250,Merapi,15925,Confirmed Eruption,4,2010,10,Historical Observations,2012,-7.54,110.446
262000,Krakatau,15634,Confirmed Eruption,2,2010,10,Historical Observations,2011,-6.102,105.423
233020,"Fournaise, Piton de la",14392,Confirmed Eruption,1,2010,10,Historical Observations,2010,-21.244,55.708
290240,Sarychev Peak,18820,Uncertain Eruption,2,2010,9,,2010,48.092,153.2
260010,Barren Island,15388,Confirmed Eruption,2,2010,9,Historical Observations,2011,12.278,93.858
311240,Cleveland,19820,Uncertain Eruption,2,2010,9,,2010,52.825,-169.944
357040,Planchon-Peteroa,11947,Confirmed Eruption,2,2010,9,Historical Observations,2010,-35.223,-70.568
